NiceGUI ready to go on http://localhost:8080, and http://10.165.2.154:8080
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
ERROR:modbus_client:Failed to connect to Modbus Master at 172.16.1.90:502
